"subject";"index";"acceptability";"idnumber";"condition"
1;1;0;9;"EIC"
1;2;6;14;"EAC"
1;3;6;19;"EAC"
1;4;0;7;"EIC"
1;5;0;3;"EIC"
1;6;5;12;"EAC"
1;7;0;20;"EIC"
1;8;0;10;"EIC"
1;9;6;9;"EAC"
1;10;6;20;"EAC"
1;11;5;4;"EAC"
1;12;6;11;"EAC"
1;13;6;17;"EAC"
1;14;0;19;"EIC"
1;15;1;16;"EIC"
1;16;6;16;"EAC"
1;17;6;3;"EAC"
1;18;0;17;"EIC"
1;19;0;11;"EIC"
1;20;6;13;"EAC"
1;21;6;8;"EAC"
1;22;0;1;"EIC"
1;23;0;15;"EIC"
1;24;0;18;"EIC"
1;25;6;15;"EAC"
1;26;0;5;"EIC"
1;27;0;14;"EIC"
1;28;0;6;"EIC"
1;29;0;5;"EAC"
1;30;5;10;"EAC"
1;31;1;8;"EIC"
1;32;6;6;"EAC"
1;33;2;4;"EIC"
1;34;6;18;"EAC"
1;35;3;1;"EAC"
1;36;1;12;"EIC"
1;37;0;13;"EIC"
1;38;6;7;"EAC"
1;39;6;2;"EAC"
1;40;0;2;"EIC"
2;1;5;7;"EAC"
2;2;6;6;"EAC"
2;3;0;3;"EIC"
2;4;0;6;"EIC"
2;5;6;16;"EAC"
2;6;6;15;"EAC"
2;7;6;17;"EAC"
2;8;5;19;"EAC"
2;9;0;15;"EIC"
2;10;5;13;"EAC"
2;11;6;14;"EAC"
2;12;2;17;"EIC"
2;13;6;10;"EAC"
2;14;3;1;"EAC"
2;15;0;1;"EIC"
2;16;6;18;"EAC"
2;17;3;10;"EIC"
2;18;4;20;"EAC"
2;19;0;9;"EIC"
2;20;0;7;"EIC"
2;21;0;8;"EIC"
2;22;1;16;"EIC"
2;23;6;11;"EAC"
2;24;0;5;"EIC"
2;25;6;2;"EAC"
2;26;4;19;"EIC"
2;27;6;4;"EAC"
2;28;0;14;"EIC"
2;29;5;8;"EAC"
2;30;0;12;"EIC"
2;31;0;4;"EIC"
2;32;0;2;"EIC"
2;33;1;13;"EIC"
2;34;0;11;"EIC"
2;35;6;3;"EAC"
2;36;0;18;"EIC"
2;37;6;5;"EAC"
2;38;0;9;"EAC"
2;39;0;20;"EIC"
2;40;2;12;"EAC"
3;1;6;19;"EAC"
3;2;0;17;"EIC"
3;3;6;15;"EAC"
3;4;2;1;"EIC"
3;5;0;13;"EIC"
3;6;6;5;"EAC"
3;7;2;14;"EAC"
3;8;0;19;"EIC"
3;9;0;9;"EIC"
3;10;6;11;"EAC"
3;11;0;16;"EIC"
3;12;4;18;"EAC"
3;13;3;12;"EAC"
3;14;0;3;"EIC"
3;15;0;14;"EIC"
3;16;6;17;"EAC"
3;17;1;11;"EIC"
3;18;4;2;"EAC"
3;19;0;20;"EIC"
3;20;5;8;"EAC"
3;21;6;4;"EAC"
3;22;6;3;"EAC"
3;23;0;4;"EIC"
3;24;0;2;"EIC"
3;25;4;9;"EAC"
3;26;5;13;"EAC"
3;27;0;15;"EIC"
3;28;0;18;"EIC"
3;29;6;20;"EAC"
3;30;6;1;"EAC"
3;31;0;5;"EIC"
3;32;6;7;"EAC"
3;33;6;6;"EAC"
3;34;0;10;"EIC"
3;35;5;16;"EAC"
3;36;0;8;"EIC"
3;37;0;12;"EIC"
3;38;3;10;"EAC"
3;39;0;7;"EIC"
3;40;0;6;"EIC"
4;1;0;9;"EIC"
4;2;0;4;"EIC"
4;3;6;19;"EAC"
4;4;0;16;"EIC"
4;5;6;3;"EAC"
4;6;3;11;"EAC"
4;7;6;16;"EAC"
4;8;5;14;"EAC"
4;9;1;2;"EIC"
4;10;6;9;"EAC"
4;11;6;20;"EAC"
4;12;6;4;"EAC"
4;13;4;5;"EAC"
4;14;0;8;"EIC"
4;15;6;17;"EAC"
4;16;2;15;"EIC"
4;17;0;14;"EIC"
4;18;2;10;"EAC"
4;19;5;7;"EAC"
4;20;0;12;"EIC"
4;21;6;1;"EAC"
4;22;0;18;"EIC"
4;23;5;2;"EAC"
4;24;0;6;"EIC"
4;25;0;11;"EIC"
4;26;0;19;"EIC"
4;27;6;8;"EAC"
4;28;0;5;"EIC"
4;29;6;13;"EAC"
4;30;0;10;"EIC"
4;31;6;12;"EAC"
4;32;1;7;"EIC"
4;33;0;3;"EIC"
4;34;6;6;"EAC"
4;35;6;18;"EAC"
4;36;0;17;"EIC"
4;37;0;20;"EIC"
4;38;6;15;"EAC"
4;39;0;13;"EIC"
4;40;0;1;"EIC"
5;1;0;17;"EIC"
5;2;0;5;"EIC"
5;3;1;9;"EIC"
5;4;0;8;"EIC"
5;5;6;4;"EAC"
5;6;6;15;"EAC"
5;7;0;6;"EIC"
5;8;0;12;"EIC"
5;9;0;13;"EIC"
5;10;6;10;"EAC"
5;11;6;9;"EAC"
5;12;2;18;"EIC"
5;13;0;16;"EIC"
5;14;6;11;"EAC"
5;15;0;3;"EIC"
5;16;6;1;"EAC"
5;17;6;16;"EAC"
5;18;0;15;"EIC"
5;19;5;6;"EAC"
5;20;6;17;"EAC"
5;21;0;20;"EIC"
5;22;6;7;"EAC"
5;23;6;13;"EAC"
5;24;0;10;"EIC"
5;25;6;5;"EAC"
5;26;0;7;"EIC"
5;27;6;18;"EAC"
5;28;0;4;"EIC"
5;29;6;8;"EAC"
5;30;0;2;"EIC"
5;31;6;2;"EAC"
5;32;6;20;"EAC"
5;33;0;1;"EIC"
5;34;0;19;"EIC"
5;35;4;3;"EAC"
5;36;3;19;"EAC"
5;37;6;14;"EAC"
5;38;0;14;"EIC"
5;39;3;12;"EAC"
5;40;0;11;"EIC"
6;1;5;7;"EAC"
6;2;0;6;"EIC"
6;3;0;11;"EIC"
6;4;0;7;"EIC"
6;5;6;2;"EAC"
6;6;4;1;"EAC"
6;7;6;13;"EAC"
6;8;6;17;"EAC"
6;9;0;4;"EIC"
6;10;6;8;"EAC"
6;11;4;20;"EAC"
6;12;0;18;"EIC"
6;13;3;6;"EAC"
6;14;0;5;"EIC"
6;15;0;15;"EIC"
6;16;6;18;"EAC"
6;17;6;9;"EAC"
6;18;0;1;"EIC"
6;19;0;16;"EIC"
6;20;0;13;"EIC"
6;21;0;8;"EIC"
6;22;0;20;"EIC"
6;23;0;10;"EIC"
6;24;0;9;"EIC"
6;25;4;3;"EAC"
6;26;6;16;"EAC"
6;27;5;4;"EAC"
6;28;0;17;"EIC"
6;29;0;19;"EIC"
6;30;6;5;"EAC"
6;31;0;12;"EIC"
6;32;0;3;"EIC"
6;33;6;11;"EAC"
6;34;6;10;"EAC"
6;35;1;14;"EIC"
6;36;2;15;"EAC"
6;37;6;14;"EAC"
6;38;5;12;"EAC"
6;39;6;19;"EAC"
6;40;0;2;"EIC"
7;1;6;15;"EAC"
7;2;0;17;"EIC"
7;3;6;19;"EAC"
7;4;0;11;"EIC"
7;5;5;14;"EAC"
7;6;5;18;"EAC"
7;7;1;5;"EIC"
7;8;1;6;"EIC"
7;9;6;13;"EAC"
7;10;0;20;"EIC"
7;11;0;19;"EIC"
7;12;0;7;"EIC"
7;13;0;15;"EIC"
7;14;0;3;"EIC"
7;15;0;18;"EIC"
7;16;6;12;"EAC"
7;17;6;8;"EAC"
7;18;0;9;"EIC"
7;19;0;4;"EIC"
7;20;2;16;"EIC"
7;21;6;1;"EAC"
7;22;5;5;"EAC"
7;23;0;10;"EIC"
7;24;6;4;"EAC"
7;25;6;16;"EAC"
7;26;6;11;"EAC"
7;27;3;8;"EIC"
7;28;6;6;"EAC"
7;29;0;1;"EIC"
7;30;0;14;"EIC"
7;31;6;10;"EAC"
7;32;6;9;"EAC"
7;33;2;2;"EAC"
7;34;5;17;"EAC"
7;35;0;12;"EIC"
7;36;5;3;"EAC"
7;37;1;2;"EIC"
7;38;6;7;"EAC"
7;39;0;13;"EIC"
7;40;6;20;"EAC"
8;1;6;13;"EAC"
8;2;5;20;"EAC"
8;3;0;2;"EIC"
8;4;0;8;"EIC"
8;5;1;3;"EIC"
8;6;6;19;"EAC"
8;7;6;6;"EAC"
8;8;6;7;"EAC"
8;9;6;8;"EAC"
8;10;6;11;"EAC"
8;11;0;1;"EIC"
8;12;0;9;"EIC"
8;13;0;16;"EIC"
8;14;2;2;"EAC"
8;15;0;15;"EIC"
8;16;6;3;"EAC"
8;17;2;10;"EIC"
8;18;0;14;"EIC"
8;19;6;12;"EAC"
8;20;2;15;"EAC"
8;21;0;6;"EIC"
8;22;6;10;"EAC"
8;23;0;7;"EIC"
8;24;6;16;"EAC"
8;25;0;13;"EIC"
8;26;0;5;"EIC"
8;27;0;11;"EIC"
8;28;5;17;"EAC"
8;29;6;9;"EAC"
8;30;4;18;"EAC"
8;31;6;14;"EAC"
8;32;0;4;"EIC"
8;33;6;4;"EAC"
8;34;5;1;"EAC"
8;35;6;5;"EAC"
8;36;0;12;"EIC"
9;1;1;11;"EIC"
9;2;0;6;"EIC"
9;3;6;15;"EAC"
9;4;1;5;"EIC"
9;5;0;7;"EIC"
9;6;5;13;"EAC"
9;7;6;6;"EAC"
9;8;6;4;"EAC"
9;9;0;3;"EIC"
9;10;6;14;"EAC"
9;11;6;12;"EAC"
9;12;5;11;"EAC"
9;13;6;17;"EAC"
9;14;6;7;"EAC"
9;15;6;5;"EAC"
9;16;1;8;"EIC"
9;17;0;12;"EIC"
9;18;1;14;"EIC"
9;19;0;13;"EIC"
9;20;5;1;"EAC"
9;21;4;8;"EAC"
9;22;0;19;"EIC"
9;23;0;10;"EIC"
9;24;5;19;"EAC"
9;25;5;10;"EAC"
9;26;0;1;"EIC"
9;27;4;17;"EIC"
9;28;5;9;"EAC"
9;29;0;18;"EIC"
9;30;6;16;"EAC"
9;31;6;2;"EAC"
9;32;0;15;"EIC"
9;33;6;3;"EAC"
9;34;0;4;"EIC"
9;35;0;20;"EIC"
9;36;0;9;"EIC"
9;37;6;20;"EAC"
9;38;0;2;"EIC"
9;39;6;18;"EAC"
9;40;0;16;"EIC"
10;1;6;1;"EAC"
10;2;1;13;"EIC"
10;3;0;18;"EIC"
10;4;0;5;"EIC"
10;5;5;7;"EAC"
10;6;0;3;"EIC"
10;7;6;6;"EAC"
10;8;0;14;"EIC"
10;9;0;10;"EIC"
10;10;6;19;"EAC"
10;11;5;3;"EAC"
10;12;0;6;"EIC"
10;13;6;18;"EAC"
10;14;5;14;"EAC"
10;15;0;4;"EIC"
10;16;6;17;"EAC"
10;17;5;5;"EAC"
10;18;1;8;"EAC"
10;19;0;2;"EIC"
10;20;1;8;"EIC"
10;21;6;13;"EAC"
10;22;0;20;"EIC"
10;23;6;20;"EAC"
10;24;0;12;"EIC"
10;25;6;12;"EAC"
10;26;6;9;"EAC"
10;27;5;4;"EAC"
10;28;0;11;"EIC"
10;29;0;17;"EIC"
10;30;4;2;"EAC"
10;31;2;15;"EIC"
10;32;0;19;"EIC"
10;33;0;1;"EIC"
10;34;6;15;"EAC"
10;35;6;11;"EAC"
10;36;0;7;"EIC"
10;37;0;9;"EIC"
10;38;4;16;"EAC"
10;39;0;16;"EIC"
10;40;3;10;"EAC"
11;1;0;15;"EIC"
11;2;0;20;"EIC"
11;3;4;15;"EAC"
11;4;0;11;"EIC"
11;5;0;3;"EIC"
11;6;5;13;"EAC"
11;7;3;14;"EAC"
11;8;0;16;"EIC"
11;9;6;19;"EAC"
11;10;0;7;"EIC"
11;11;0;4;"EIC"
11;12;6;5;"EAC"
11;13;1;2;"EIC"
11;14;0;10;"EIC"
11;15;6;16;"EAC"
11;16;6;11;"EAC"
11;17;5;18;"EAC"
11;18;0;18;"EIC"
11;19;6;4;"EAC"
11;20;0;14;"EIC"
11;21;0;9;"EIC"
11;22;0;8;"EIC"
11;23;2;13;"EIC"
11;24;6;7;"EAC"
11;25;0;5;"EIC"
11;26;6;2;"EAC"
11;27;0;10;"EAC"
11;28;0;6;"EIC"
11;29;6;1;"EAC"
11;30;6;9;"EAC"
11;31;0;17;"EIC"
11;32;6;8;"EAC"
11;33;6;6;"EAC"
11;34;0;12;"EIC"
11;35;6;3;"EAC"
11;36;0;1;"EIC"
11;37;6;20;"EAC"
11;38;6;17;"EAC"
11;39;0;19;"EIC"
11;40;5;12;"EAC"
12;1;6;10;"EAC"
12;2;1;6;"EIC"
12;3;4;17;"EAC"
12;4;0;1;"EIC"
12;5;0;13;"EIC"
12;6;0;14;"EIC"
12;7;0;11;"EIC"
12;8;0;7;"EIC"
12;9;6;19;"EAC"
12;10;1;18;"EIC"
12;11;3;15;"EIC"
12;12;5;12;"EAC"
12;13;5;15;"EAC"
12;14;0;4;"EIC"
12;15;6;2;"EAC"
12;16;6;4;"EAC"
12;17;0;5;"EIC"
12;18;6;16;"EAC"
12;19;2;8;"EAC"
12;20;6;14;"EAC"
12;21;0;10;"EIC"
12;22;6;11;"EAC"
12;23;6;1;"EAC"
12;24;0;2;"EIC"
12;25;0;8;"EIC"
12;26;6;9;"EAC"
12;27;0;9;"EIC"
12;28;6;7;"EAC"
12;29;6;5;"EAC"
12;30;6;3;"EAC"
12;31;0;3;"EIC"
12;32;6;20;"EAC"
12;33;0;19;"EIC"
12;34;1;16;"EIC"
12;35;0;17;"EIC"
12;36;6;6;"EAC"
12;37;0;12;"EIC"
12;38;0;20;"EIC"
12;39;4;13;"EAC"
12;40;6;18;"EAC"
13;1;0;9;"EIC"
13;2;6;3;"EAC"
13;3;0;14;"EIC"
13;4;0;13;"EIC"
13;5;0;17;"EIC"
13;6;0;4;"EIC"
13;7;5;18;"EAC"
13;8;3;5;"EAC"
13;9;0;8;"EIC"
13;10;2;15;"EAC"
13;11;6;20;"EAC"
13;12;6;7;"EAC"
13;13;6;13;"EAC"
13;14;6;14;"EAC"
13;15;0;20;"EIC"
13;16;0;2;"EIC"
13;17;0;1;"EIC"
13;18;0;7;"EIC"
13;19;0;3;"EIC"
13;20;0;10;"EIC"
13;21;0;16;"EIC"
13;22;0;11;"EIC"
13;23;3;12;"EAC"
13;24;6;10;"EAC"
13;25;6;11;"EAC"
13;26;2;9;"EAC"
13;27;0;19;"EIC"
13;28;5;2;"EAC"
13;29;6;1;"EAC"
13;30;0;6;"EIC"
13;31;0;18;"EIC"
13;32;0;12;"EIC"
13;33;5;6;"EAC"
13;34;6;8;"EAC"
13;35;6;19;"EAC"
13;36;5;4;"EAC"
13;37;6;17;"EAC"
13;38;6;16;"EAC"
13;39;0;5;"EIC"
13;40;0;15;"EIC"
14;1;6;8;"EAC"
14;2;6;5;"EAC"
14;3;0;20;"EIC"
14;4;6;20;"EAC"
14;5;6;1;"EAC"
14;6;5;16;"EAC"
14;7;6;3;"EAC"
14;8;6;19;"EAC"
14;9;5;15;"EAC"
14;10;5;6;"EAC"
14;11;6;14;"EAC"
14;12;0;9;"EIC"
14;13;0;10;"EIC"
14;14;6;17;"EAC"
14;15;0;6;"EIC"
14;16;5;4;"EAC"
14;17;3;9;"EAC"
14;18;0;2;"EIC"
14;19;0;8;"EIC"
14;20;2;4;"EIC"
14;21;6;12;"EAC"
14;22;0;5;"EIC"
14;23;1;12;"EIC"
14;24;0;7;"EIC"
14;25;0;17;"EIC"
14;26;0;3;"EIC"
14;27;6;10;"EAC"
14;28;0;19;"EIC"
14;29;0;13;"EIC"
14;30;1;14;"EIC"
14;31;6;13;"EAC"
14;32;0;11;"EIC"
14;33;6;2;"EAC"
14;34;0;18;"EIC"
14;35;0;16;"EIC"
14;36;0;1;"EIC"
14;37;0;15;"EIC"
14;38;6;7;"EAC"
14;39;5;18;"EAC"
14;40;6;11;"EAC"
15;1;0;4;"EIC"
15;2;6;11;"EAC"
15;3;6;18;"EAC"
15;4;0;13;"EIC"
15;5;6;7;"EAC"
15;6;0;8;"EIC"
15;7;0;5;"EIC"
15;8;0;16;"EIC"
15;9;6;10;"EAC"
15;10;3;17;"EAC"
15;11;6;13;"EAC"
15;12;0;18;"EIC"
15;13;6;16;"EAC"
15;14;6;20;"EAC"
15;15;3;9;"EAC"
15;16;4;6;"EAC"
15;17;6;12;"EAC"
15;18;4;3;"EAC"
15;19;6;15;"EAC"
15;20;3;2;"EAC"
15;21;0;10;"EIC"
