subject;index;acceptability;condition;idnumber
1;22;6;CNS;2
1;24;3;FPA;5
1;26;6;CNA;15
1;30;5;FPS;11
1;34;2;FPA;3
1;36;1;CNS;3
1;40;3;FPS;13
1;44;1;CNA;11
1;50;5;FPA;1
1;52;5;FPS;14
1;54;5;CNS;4
1;56;5;CNA;13
1;66;2;CNA;14
1;70;6;FPS;12
1;74;4;CNS;1
1;80;3;CNS;5
1;86;6;FPA;4
1;90;2;FPS;15
1;94;5;CNA;12
2;16;6;CNA;15
2;18;4;FPS;14
2;26;6;FPA;5
2;32;5;FPS;15
2;36;3;FPA;1
2;40;4;CNA;12
2;42;0;CNS;5
2;50;2;CNS;3
2;52;6;FPA;3
2;58;4;CNA;11
2;62;5;FPS;11
2;66;4;FPS;12
2;72;6;CNA;13
2;76;6;CNS;2
2;78;6;FPA;2
2;82;6;FPS;13
2;88;6;FPA;4
2;90;6;CNS;4
2;94;6;CNA;14
3;16;6;FPA;3
3;20;6;FPS;14
3;24;5;CNA;13
3;32;6;CNA;15
3;34;0;CNS;3
3;36;3;FPA;5
3;42;6;FPS;12
3;50;0;CNA;11
3;54;6;FPA;4
3;56;6;FPS;11
3;62;6;CNS;4
3;68;6;FPA;2
3;72;6;FPS;13
3;76;0;CNS;5
3;78;0;CNA;14
3;88;5;FPA;1
3;90;5;FPS;15
3;92;6;CNA;12
3;94;1;CNS;1
4;16;3;FPA;5
4;18;6;CNA;12
4;24;3;CNS;4
4;28;4;FPS;11
4;32;3;FPA;3
4;36;6;FPS;12
4;40;2;CNS;1
4;42;5;CNA;14
4;54;2;CNS;2
4;58;3;FPS;13
4;60;3;FPA;2
4;62;6;CNA;15
4;66;1;CNA;11
4;68;2;CNS;3
4;72;3;FPA;1
4;74;2;FPS;15
4;86;2;CNS;5
4;88;2;FPS;14
4;90;6;FPA;4
4;92;6;CNA;13
5;18;4;CNS;4
5;24;6;CNA;15
5;26;5;FPA;2
5;30;5;FPS;11
5;36;4;FPS;14
5;38;4;CNS;2
5;44;2;CNA;11
5;46;1;FPA;5
5;48;4;FPA;4
5;56;1;FPS;15
5;58;0;CNS;1
5;60;1;CNA;13
5;68;1;CNS;3
5;74;1;FPA;1
5;76;4;CNA;12
5;78;0;FPS;12
5;82;0;FPS;13
5;84;2;CNA;14
5;86;1;FPA;3
5;94;0;CNS;5
6;16;5;FPA;4
6;18;6;FPS;11
6;22;1;CNA;11
6;26;3;CNS;3
6;34;6;CNA;15
6;38;4;FPS;14
6;40;4;FPA;1
6;44;2;CNS;5
6;50;1;CNS;2
6;52;3;FPS;12
6;58;4;FPA;2
6;60;5;CNA;13
6;68;0;CNS;1
6;72;2;FPS;13
6;76;2;FPA;3
6;78;6;CNA;12
6;80;4;FPA;5
6;82;6;CNA;14
6;84;1;FPS;15
6;88;5;CNS;4
7;20;4;FPS;12
7;22;4;CNS;4
7;24;2;FPA;3
7;30;5;CNA;15
7;32;1;CNS;3
7;34;4;CNA;14
7;42;1;FPA;5
7;46;2;FPS;15
7;52;5;FPS;11
7;56;2;FPA;2
7;58;4;CNA;11
7;62;2;CNS;5
7;64;3;CNA;13
7;70;4;FPA;1
7;76;4;FPS;13
7;78;1;CNS;1
7;82;1;CNS;2
7;86;5;FPA;4
7;90;4;FPS;14
7;92;4;CNA;12
8;18;4;FPS;12
8;22;5;CNA;15
8;24;4;CNS;5
8;30;4;FPA;5
8;34;5;CNA;11
8;38;2;FPS;15
8;40;4;CNS;4
8;42;4;FPA;3
8;48;5;CNA;12
8;56;3;FPS;14
8;58;4;CNS;3
8;62;4;FPA;1
8;64;4;FPS;13
8;66;3;CNA;14
8;70;3;FPA;4
8;74;3;CNS;2
8;80;3;CNS;1
8;82;5;CNA;13
8;92;5;FPS;11
8;94;5;FPA;2
9;16;6;CNS;1
9;18;6;FPA;1
9;24;6;CNA;12
9;26;6;FPS;15
9;32;0;FPA;3
9;36;6;FPS;12
9;40;0;CNA;13
9;42;0;CNS;4
9;52;3;FPA;5
9;56;2;CNS;5
9;58;6;FPS;14
9;60;6;CNA;15
9;68;6;FPS;13
9;70;4;CNA;14
9;74;6;FPA;2
9;78;0;CNS;2
9;80;4;CNS;3
9;86;6;FPA;4
9;90;3;FPS;11
9;94;0;CNA;11
10;18;5;FPS;12
10;20;3;CNS;2
10;26;2;CNA;13
10;30;4;FPA;5
10;32;4;CNA;15
10;36;6;FPA;4
10;40;5;CNS;4
10;42;6;FPS;14
10;48;3;FPS;15
10;52;4;FPA;3
10;54;3;CNS;5
10;62;2;CNA;12
10;66;6;FPA;1
10;68;4;CNS;3
10;70;4;FPS;13
10;78;2;CNA;14
10;82;2;FPS;11
10;84;2;CNS;1
10;86;3;CNA;11
10;92;4;FPA;2
11;16;6;CNA;17
11;20;6;FPS;19
11;24;4;FPA;10
11;30;2;CNS;6
11;32;6;CNA;20
11;36;6;FPS;20
11;38;2;CNS;10
11;44;6;FPA;9
11;48;6;CNA;19
11;50;6;FPS;16
11;56;6;FPA;7
11;58;6;CNS;7
11;66;0;CNS;8
11;72;6;FPA;6
11;74;6;CNA;18
11;78;6;FPS;18
11;80;6;FPA;8
11;82;6;CNA;16
