"subject";"latinsqr";"preg_class";"is_correct";"idnumber"
1002;1;0;0;27
1002;1;1;1;31
1002;1;1;1;12
1002;1;0;1;39
1002;1;1;1;28
1002;1;0;1;3
1002;1;0;1;29
1002;1;1;1;14
1002;1;1;1;32
1002;1;1;1;38
1002;1;0;1;18
1002;1;0;1;25
1002;1;0;1;10
160;1;0;1;14
160;1;0;1;10
160;1;0;1;32
160;1;0;1;31
160;1;1;1;25
160;1;1;1;27
160;1;1;1;29
160;1;1;1;12
160;1;1;1;3
160;1;0;1;38
160;1;0;1;39
160;1;0;1;28
160;1;1;1;18
1922;1;0;1;38
1922;1;1;1;3
1922;1;0;1;27
1922;1;0;1;10
1922;1;0;1;25
1922;1;1;1;39
1922;1;1;1;31
1922;1;1;1;32
1922;1;0;1;29
1922;1;1;1;14
1922;1;0;1;18
1922;1;1;1;12
1922;1;1;1;28
2069;1;0;1;3
2069;1;1;1;31
2069;1;1;1;10
2069;1;0;1;32
2069;1;0;1;18
2069;1;0;1;14
2069;1;0;1;28
2069;1;1;0;29
2069;1;1;1;27
2069;1;0;1;12
2069;1;0;1;39
2069;1;1;0;38
2069;1;0;1;25
2758;1;1;1;10
2758;1;0;1;14
2758;1;0;1;29
2758;1;1;1;31
2758;1;0;1;3
2758;1;0;1;39
2758;1;1;1;18
2758;1;1;1;28
2758;1;1;1;12
2758;1;0;1;27
2758;1;1;1;32
2758;1;0;1;25
2758;1;0;1;38
3002;1;0;1;32
3002;1;1;1;3
3002;1;1;1;10
3002;1;1;1;14
3002;1;0;1;25
3002;1;0;1;31
3002;1;0;0;39
3002;1;0;1;27
3002;1;1;1;28
3002;1;1;1;12
3002;1;0;1;18
3002;1;1;1;29
3002;1;0;1;38
3732;1;0;1;31
3732;1;0;1;28
3732;1;0;1;39
3732;1;1;1;27
3732;1;1;1;32
3732;1;1;1;10
3732;1;1;1;14
3732;1;0;1;25
3732;1;0;1;3
3732;1;0;1;29
3732;1;0;1;38
3732;1;1;1;12
3732;1;0;1;18
3925;1;0;1;29
3925;1;0;1;31
3925;1;1;1;10
3925;1;0;1;18
3925;1;0;1;38
3925;1;0;0;25
3925;1;0;1;39
3925;1;0;1;3
3925;1;0;1;32
3925;1;1;1;28
3925;1;1;1;12
3925;1;0;1;27
3925;1;1;0;14
4100;1;1;1;25
4100;1;0;1;29
4100;1;0;1;39
4100;1;1;1;28
4100;1;1;1;12
4100;1;1;1;38
4100;1;1;1;18
4100;1;0;1;3
4100;1;0;1;10
4100;1;1;1;14
4100;1;0;1;32
4100;1;1;0;31
4100;1;1;0;27
4712;1;0;1;31
4712;1;1;1;39
4712;1;0;1;12
4712;1;0;1;3
4712;1;1;0;38
4712;1;0;1;18
4712;1;0;1;28
4712;1;0;1;29
4712;1;0;1;27
4712;1;1;1;32
4712;1;0;1;25
4712;1;1;1;14
4712;1;0;1;10
4892;1;0;1;29
4892;1;0;1;3
4892;1;1;1;27
4892;1;0;1;14
4892;1;1;1;38
4892;1;0;1;32
4892;1;0;1;10
4892;1;0;1;28
4892;1;0;1;39
4892;1;1;1;31
4892;1;0;1;12
4892;1;1;0;25
4892;1;1;1;18
5114;1;0;1;10
5114;1;0;1;39
5114;1;0;1;31
5114;1;1;1;12
5114;1;1;1;14
5114;1;0;1;28
5114;1;0;1;29
5114;1;0;1;38
5114;1;1;1;3
5114;1;1;1;27
5114;1;0;1;25
5114;1;0;1;32
5114;1;1;1;18
5330;1;1;1;29
5330;1;0;1;12
5330;1;1;1;14
5330;1;1;1;28
5330;1;0;1;32
5330;1;1;1;38
5330;1;1;1;18
5330;1;1;1;39
5330;1;1;1;27
5330;1;1;1;25
5330;1;0;1;10
5330;1;1;1;31
5330;1;1;1;3
5608;1;1;1;28
5608;1;1;1;3
5608;1;0;1;25
5608;1;0;1;31
5608;1;0;1;14
5608;1;0;1;12
5608;1;1;1;39
5608;1;0;1;18
5608;1;0;1;27
5608;1;0;0;32
5608;1;0;1;29
5608;1;0;1;38
5608;1;0;1;10
5648;1;1;1;32
5648;1;0;1;12
5648;1;1;1;29
5648;1;1;1;28
5648;1;0;1;14
5648;1;0;1;38
5648;1;1;1;39
5648;1;0;1;3
5648;1;0;1;18
5648;1;1;1;31
5648;1;1;0;27
5648;1;0;1;10
5648;1;1;1;25
5692;1;0;1;12
5692;1;1;1;10
5692;1;1;1;18
5692;1;1;1;32
5692;1;1;1;14
5692;1;0;1;39
5692;1;1;1;28
5692;1;0;1;29
5692;1;1;1;27
5692;1;1;1;31
5692;1;1;1;3
5692;1;0;1;25
5692;1;1;1;38
7405;1;1;1;3
7405;1;1;1;18
7405;1;1;1;10
7405;1;1;1;12
7405;1;0;1;14
7405;1;1;1;31
7405;1;0;1;27
7405;1;1;1;29
7405;1;0;1;39
7405;1;0;1;28
7405;1;0;1;38
7405;1;1;1;32
7405;1;0;1;25
7992;1;0;1;25
7992;1;1;1;28
7992;1;1;1;18
7992;1;1;1;27
7992;1;1;1;14
7992;1;0;1;31
7992;1;1;1;12
7992;1;1;1;29
7992;1;0;1;3
7992;1;1;1;38
7992;1;1;1;39
7992;1;1;1;10
7992;1;0;1;32
8102;1;1;1;12
8102;1;0;1;32
8102;1;1;1;38
8102;1;0;1;31
8102;1;1;1;14
8102;1;1;1;18
8102;1;1;1;10
8102;1;0;1;3
8102;1;0;1;29
8102;1;0;1;28
8102;1;0;1;25
8102;1;1;1;27
8102;1;0;1;39
8721;1;0;1;38
8721;1;1;1;14
8721;1;0;0;25
8721;1;1;1;29
8721;1;0;1;27
8721;1;1;1;12
8721;1;0;1;28
8721;1;0;1;10
8721;1;1;1;39
8721;1;1;1;32
8721;1;0;1;3
8721;1;1;1;31
8721;1;1;1;18
8739;1;1;1;14
8739;1;1;1;25
8739;1;1;0;39
8739;1;0;1;32
8739;1;0;0;38
8739;1;0;1;27
8739;1;1;1;10
8739;1;1;1;29
8739;1;0;1;3
8739;1;0;1;28
8739;1;1;1;18
8739;1;1;1;31
8739;1;1;1;12
8796;1;0;1;14
8796;1;0;1;32
8796;1;0;1;10
8796;1;0;1;25
8796;1;0;1;38
8796;1;0;1;29
8796;1;0;1;12
8796;1;1;1;28
8796;1;0;1;27
8796;1;0;1;3
8796;1;1;1;18
8796;1;0;1;39
8796;1;0;1;31
8960;1;1;1;38
8960;1;0;1;28
8960;1;1;1;39
8960;1;0;1;18
8960;1;0;1;14
8960;1;0;1;29
8960;1;1;1;27
8960;1;1;1;25
8960;1;0;1;12
8960;1;0;1;32
8960;1;1;1;3
8960;1;1;1;10
8960;1;0;1;31
92;1;1;1;29
92;1;0;0;10
92;1;0;1;3
92;1;1;1;32
92;1;1;1;14
92;1;1;1;12
92;1;0;1;39
92;1;1;1;18
92;1;0;1;28
92;1;0;1;27
92;1;1;1;31
92;1;1;1;25
92;1;1;1;38
9578;1;0;1;14
9578;1;0;1;31
