rt;order;latinsqrn;phrase;subject;condition;idnumber;idfull;rtLog;context;quantifier
1183;1;1;masking_nogo;1002;FPA;3;FPA_3;3,072984745;FP;A
857;2;1;masking_go;1002;FPA;3;FPA_3;2,932980822;FP;A
4340;3;1;CNTX;1002;FPA;3;FPA_3;3,63748973;FP;A
1966;4;1;PREG;1002;FPA;3;FPA_3;3,311753861;FP;A
1383;5;1;blanco_CUANT;1002;FPA;3;FPA_3;3,14082218;FP;A
1429;6;1;blanco_REST;1002;FPA;3;FPA_3;3,155032229;FP;A
634;7;1;masking_nogo;1002;FPS;7;FPS_7;2,802089258;FP;S
817;8;1;masking_go;1002;FPS;7;FPS_7;2,912222057;FP;S
1794;9;1;CNTX;1002;FPS;7;FPS_7;3,253822439;FP;S
1158;10;1;PREG;1002;FPS;7;FPS_7;3,08170727;FP;S
1155;11;1;blanco_CUANT;1002;FPS;7;FPS_7;3,062581984;FP;S
1051;12;1;blanco_REST;1002;FPS;7;FPS_7;3,021602716;FP;S
540;13;1;masking_nogo;1002;CNA;11;CNA_11;2,73239376;CN;A
144;14;1;masking_go;1002;CNA;11;CNA_11;2,158362492;CN;A
1567;15;1;CNTX;1002;CNA;11;CNA_11;3,195068996;CN;A
708;16;1;PREG;1002;CNA;11;CNA_11;2,850033258;CN;A
1744;17;1;blanco_CUANT;1002;CNA;11;CNA_11;3,241546481;CN;A
962;18;1;blanco_REST;1002;CNA;11;CNA_11;2,983175072;CN;A
618;19;1;masking_nogo;1002;CNA;14;CNA_14;2,790988475;CN;A
702;20;1;masking_go;1002;CNA;14;CNA_14;2,846337112;CN;A
1565;21;1;CNTX;1002;CNA;14;CNA_14;3,194514342;CN;A
907;22;1;PREG;1002;CNA;14;CNA_14;2,957607287;CN;A
872;23;1;blanco_CUANT;1002;CNA;14;CNA_14;2,940516485;CN;A
949;24;1;blanco_REST;1002;CNA;14;CNA_14;2,977266212;CN;A
532;25;1;masking_nogo;1002;FPA;5;FPA_5;2,725911632;FP;A
23;26;1;masking_go;1002;FPA;5;FPA_5;1,361727836;FP;A
2179;27;1;CNTX;1002;FPA;5;FPA_5;3,33825723;FP;A
518;28;1;PREG;1002;FPA;5;FPA_5;2,73239376;FP;A
698;29;1;blanco_CUANT;1002;FPA;5;FPA_5;2,843855423;FP;A
629;30;1;blanco_REST;1002;FPA;5;FPA_5;2,798650645;FP;A
913;31;1;masking_nogo;1002;FPS;9;FPS_9;2,960470778;FP;S
452;32;1;masking_go;1002;FPS;9;FPS_9;2,655138435;FP;S
1057;33;1;CNTX;1002;FPS;9;FPS_9;3,024074987;FP;S
1145;34;1;PREG;1002;FPS;9;FPS_9;3,077004327;FP;S
1095;35;1;blanco_CUANT;1002;FPS;9;FPS_9;3,039414119;FP;S
687;36;1;blanco_REST;1002;FPS;9;FPS_9;2,836956737;FP;S
676;37;1;masking_nogo;1002;FPS;8;FPS_8;2,829946696;FP;S
506;38;1;masking_go;1002;FPS;8;FPS_8;2,704150517;FP;S
1402;39;1;CNTX;1002;FPS;8;FPS_8;3,146748014;FP;S
570;40;1;PREG;1002;FPS;8;FPS_8;2,773786445;FP;S
1512;41;1;blanco_CUANT;1002;FPS;8;FPS_8;3,179551791;FP;S
522;42;1;blanco_REST;1002;FPS;8;FPS_8;2,717670503;FP;S
1036;43;1;masking_nogo;1002;FPA;2;FPA_2;3,015359755;FP;A
478;44;1;masking_go;1002;FPA;2;FPA_2;2,679427897;FP;A
1285;45;1;CNTX;1002;FPA;2;FPA_2;3,108903128;FP;A
760;46;1;PREG;1002;FPA;2;FPA_2;2,899273187;FP;A
649;47;1;blanco_CUANT;1002;FPA;2;FPA_2;2,812244697;FP;A
590;48;1;blanco_REST;1002;FPA;2;FPA_2;2,770852012;FP;A
1770;49;1;preg_N;1002;FPA;2;FPA_2;3,247973266;FP;A
428;50;1;;1002;FPA;2;FPA_2;2,631443769;FP;A
507;51;1;masking_nogo;1002;CNA;13;CNA_13;2,705007959;CN;A
489;52;1;masking_go;1002;CNA;13;CNA_13;2,689308859;CN;A
1286;53;1;CNTX;1002;CNA;13;CNA_13;3,109240969;CN;A
1190;54;1;PREG;1002;CNA;13;CNA_13;3,075546961;CN;A
789;55;1;blanco_CUANT;1002;CNA;13;CNA_13;2,897077003;CN;A
848;56;1;blanco_REST;1002;CNA;13;CNA_13;2,928395852;CN;A
523;57;1;masking_nogo;1002;FPA;4;FPA_4;2,718501689;FP;A
451;58;1;masking_go;1002;FPA;4;FPA_4;2,654176542;FP;A
1338;59;1;CNTX;1002;FPA;4;FPA_4;3,126456113;FP;A
1219;60;1;PREG;1002;FPA;4;FPA_4;3,104145551;FP;A
1283;61;1;blanco_CUANT;1002;FPA;4;FPA_4;3,108226656;FP;A
781;62;1;blanco_REST;1002;FPA;4;FPA_4;2,892651034;FP;A
564;63;1;masking_nogo;1002;FPS;10;FPS_10;2,751279104;FP;S
397;64;1;masking_go;1002;FPS;10;FPS_10;2,598790507;FP;S
85;65;1;CNTX;1002;FPS;10;FPS_10;1,929418926;FP;S
1093;66;1;PREG;1002;FPS;10;FPS_10;3,056904851;FP;S
778;67;1;blanco_CUANT;1002;FPS;10;FPS_10;2,890979597;FP;S
501;68;1;blanco_REST;1002;FPS;10;FPS_10;2,699837726;FP;S
963;69;1;masking_nogo;1002;CNA;12;CNA_12;2,983626287;CN;A
444;70;1;masking_go;1002;CNA;12;CNA_12;2,64738297;CN;A
1981;71;1;CNTX;1002;CNA;12;CNA_12;3,296884476;CN;A
810;72;1;PREG;1002;CNA;12;CNA_12;2,908485019;CN;A
1058;73;1;blanco_CUANT;1002;CNA;12;CNA_12;3,024485668;CN;A
766;74;1;blanco_REST;1002;CNA;12;CNA_12;2,88422877;CN;A
1507;75;1;preg_Y;1002;CNA;12;CNA_12;3,178113252;CN;A
678;76;1;;1002;CNA;12;CNA_12;2,831229694;CN;A
565;77;1;masking_nogo;1002;FPS;6;FPS_6;2,752048448;FP;S
443;78;1;masking_go;1002;FPS;6;FPS_6;2,646403726;FP;S
1375;79;1;CNTX;1002;FPS;6;FPS_6;3,138302698;FP;S
620;80;1;PREG;1002;FPS;6;FPS_6;2,810904281;FP;S
1016;81;1;blanco_CUANT;1002;FPS;6;FPS_6;3,006893708;FP;S
685;82;1;blanco_REST;1002;FPS;6;FPS_6;2,835690571;FP;S
674;83;1;masking_nogo;1002;FPA;1;FPA_1;2,828659897;FP;A
433;84;1;masking_go;1002;FPA;1;FPA_1;2,636487896;FP;A
1637;85;1;CNTX;1002;FPA;1;FPA_1;3,214048679;FP;A
719;86;1;PREG;1002;FPA;1;FPA_1;2,875061263;FP;A
1373;87;1;blanco_CUANT;1002;FPA;1;FPA_1;3,137670537;FP;A
856;88;1;blanco_REST;1002;FPA;1;FPA_1;2,932473765;FP;A
1506;89;1;preg_Y;1002;FPA;1;FPA_1;3,177824972;FP;A
737;90;1;;1002;FPA;1;FPA_1;2,867467488;FP;A
832;91;1;masking_nogo;1002;CNA;15;CNA_15;2,920123326;CN;A
582;92;1;masking_go;1002;CNA;15;CNA_15;2,764922985;CN;A
1493;93;1;CNTX;1002;CNA;15;CNA_15;3,174059808;CN;A
750;94;1;PREG;1002;CNA;15;CNA_15;2,875061263;CN;A
1268;95;1;blanco_CUANT;1002;CNA;15;CNA_15;3,103119254;CN;A
738;96;1;blanco_REST;1002;CNA;15;CNA_15;2,868056362;CN;A
1562;97;1;preg_N;1002;CNA;15;CNA_15;3,19368103;CN;A
577;98;1;;1002;CNA;15;CNA_15;2,761175813;CN;A
576;1;1;masking_nogo;160;CNA;13;CNA_13;2,760422483;CN;A
470;2;1;masking_go;160;CNA;13;CNA_13;2,672097858;CN;A
4353;3;1;CNTX;160;CNA;13;CNA_13;3,638788667;CN;A
1998;4;1;PREG;160;CNA;13;CNA_13;3,300595484;CN;A
1046;5;1;blanco_CUANT;160;CNA;13;CNA_13;3,019531685;CN;A
1362;6;1;blanco_REST;160;CNA;13;CNA_13;3,134177108;CN;A
538;7;1;masking_nogo;160;FPS;6;FPS_6;2,730782276;FP;S
739;8;1;masking_go;160;FPS;6;FPS_6;2,868644438;FP;S
2349;9;1;CNTX;160;FPS;6;FPS_6;3,370883017;FP;S
754;10;1;PREG;160;FPS;6;FPS_6;2,895422546;FP;S
1538;11;1;blanco_CUANT;160;FPS;6;FPS_6;3,186956335;FP;S
675;12;1;blanco_REST;160;FPS;6;FPS_6;2,829303773;FP;S
496;13;1;masking_nogo;160;FPA;2;FPA_2;2,695481676;FP;A
498;14;1;masking_go;160;FPA;2;FPA_2;2,697229343;FP;A
2244;15;1;CNTX;160;FPA;2;FPA_2;3,351022853;FP;A
734;16;1;PREG;160;FPA;2;FPA_2;2,883661435;FP;A
1199;17;1;blanco_CUANT;160;FPA;2;FPA_2;3,078819183;FP;A
767;18;1;blanco_REST;160;FPA;2;FPA_2;2,884795364;FP;A
3555;19;1;preg_N;160;FPA;2;FPA_2;3,550839605;FP;A
1054;20;1;;160;FPA;2;FPA_2;3,022840611;FP;A
659;21;1;masking_nogo;160;FPA;1;FPA_1;2,818885415;FP;A
559;22;1;masking_go;160;FPA;1;FPA_1;2,747411808;FP;A
3360;23;1;CNTX;160;FPA;1;FPA_1;3,526339277;FP;A
1031;24;1;PREG;160;FPA;1;FPA_1;3,031408464;FP;A
1435;25;1;blanco_CUANT;160;FPA;1;FPA_1;3,156851901;FP;A
1060;26;1;blanco_REST;160;FPA;1;FPA_1;3,025305865;FP;A
2095;27;1;preg_Y;160;FPA;1;FPA_1;3,321184027;FP;A
434;28;1;;160;FPA;1;FPA_1;2,63748973;FP;A
525;29;1;masking_nogo;160;FPS;9;FPS_9;2,720159303;FP;S
1160;30;1;masking_go;160;FPS;9;FPS_9;3,064457989;FP;S
1734;31;1;CNTX;160;FPS;9;FPS_9;3,239049093;FP;S
989;32;1;PREG;160;FPS;9;FPS_9;3,013258665;FP;S
1228;33;1;blanco_CUANT;160;FPS;9;FPS_9;3,089198367;FP;S
847;34;1;blanco_REST;160;FPS;9;FPS_9;2,92788341;FP;S
561;35;1;masking_nogo;160;CNA;15;CNA_15;2,748962861;CN;A
422;36;1;masking_go;160;CNA;15;CNA_15;2,625312451;CN;A
2767;37;1;CNTX;160;CNA;15;CNA_15;3,442009159;CN;A
943;38;1;PREG;160;CNA;15;CNA_15;2,974511693;CN;A
897;39;1;blanco_CUANT;160;CNA;15;CNA_15;2,952792443;CN;A
1147;40;1;blanco_REST;160;CNA;15;CNA_15;3,059563418;CN;A
2128;41;1;preg_N;160;CNA;15;CNA_15;3,327971624;CN;A
881;42;1;;160;CNA;15;CNA_15;2,944975908;CN;A
534;43;1;masking_nogo;160;FPS;10;FPS_10;2,727541257;FP;S
508;44;1;masking_go;160;FPS;10;FPS_10;2,705863712;FP;S
2350;45;1;CNTX;160;FPS;10;FPS_10;3,371067862;FP;S
1224;46;1;PREG;160;FPS;10;FPS_10;3,105850674;FP;S
1201;47;1;blanco_CUANT;160;FPS;10;FPS_10;3,079543007;FP;S
745;48;1;blanco_REST;160;FPS;10;FPS_10;2,872156273;FP;S
548;49;1;masking_nogo;160;FPA;4;FPA_4;2,738780558;FP;A
490;50;1;masking_go;160;FPA;4;FPA_4;2,69019608;FP;A
1992;51;1;CNTX;160;FPA;4;FPA_4;3,299289334;FP;A
885;52;1;PREG;160;FPA;4;FPA_4;2,965201701;FP;A
983;53;1;blanco_CUANT;160;FPA;4;FPA_4;2,992553518;FP;A
806;54;1;blanco_REST;160;FPA;4;FPA_4;2,906335042;FP;A
512;55;1;masking_nogo;160;CNA;12;CNA_12;2,709269961;CN;A
388;56;1;masking_go;160;CNA;12;CNA_12;2,588831726;CN;A
2790;57;1;CNTX;160;CNA;12;CNA_12;3,445604203;CN;A
669;58;1;PREG;160;CNA;12;CNA_12;2,825426118;CN;A
889;59;1;blanco_CUANT;160;CNA;12;CNA_12;2,948901761;CN;A
679;60;1;blanco_REST;160;CNA;12;CNA_12;2,831869774;CN;A
2271;61;1;preg_Y;160;CNA;12;CNA_12;3,356217134;CN;A
742;62;1;;160;CNA;12;CNA_12;2,870403905;CN;A
517;63;1;masking_nogo;160;FPA;5;FPA_5;2,713490543;FP;A
390;64;1;masking_go;160;FPA;5;FPA_5;2,591064607;FP;A
2501;65;1;CNTX;160;FPA;5;FPA_5;3,398113692;FP;A
514;66;1;PREG;160;FPA;5;FPA_5;2,72916479;FP;A
771;67;1;blanco_CUANT;160;FPA;5;FPA_5;2,887054378;FP;A
791;68;1;blanco_REST;160;FPA;5;FPA_5;2,898176483;FP;A
504;69;1;masking_nogo;160;CNA;11;CNA_11;2,702430536;CN;A
418;70;1;masking_go;160;CNA;11;CNA_11;2,621176282;CN;A
3556;71;1;CNTX;160;CNA;11;CNA_11;3,550961752;CN;A
526;72;1;PREG;160;CNA;11;CNA_11;2,720985744;CN;A
1199;73;1;blanco_CUANT;160;CNA;11;CNA_11;3,078819183;CN;A
1020;74;1;blanco_REST;160;CNA;11;CNA_11;3,008600172;CN;A
597;75;1;masking_nogo;160;FPS;7;FPS_7;2,775974331;FP;S
448;76;1;masking_go;160;FPS;7;FPS_7;2,651278014;FP;S
1422;77;1;CNTX;160;FPS;7;FPS_7;3,152899596;FP;S
623;78;1;PREG;160;FPS;7;FPS_7;2,812913357;FP;S
2110;79;1;blanco_CUANT;160;FPS;7;FPS_7;3,324282455;FP;S
611;80;1;blanco_REST;160;FPS;7;FPS_7;2,78604121;FP;S
541;81;1;masking_nogo;160;CNA;14;CNA_14;2,733197265;CN;A
373;82;1;masking_go;160;CNA;14;CNA_14;2,571708832;CN;A
2246;83;1;CNTX;160;CNA;14;CNA_14;3,351409752;CN;A
601;84;1;PREG;160;CNA;14;CNA_14;2,778874472;CN;A
536;85;1;blanco_CUANT;160;CNA;14;CNA_14;2,72916479;CN;A
909;86;1;blanco_REST;160;CNA;14;CNA_14;2,958563883;CN;A
694;87;1;masking_nogo;160;FPS;8;FPS_8;2,84135947;FP;S
377;88;1;masking_go;160;FPS;8;FPS_8;2,57634135;FP;S
2393;89;1;CNTX;160;FPS;8;FPS_8;3,378942699;FP;S
420;90;1;PREG;160;FPS;8;FPS_8;2,641474111;FP;S
1032;91;1;blanco_CUANT;160;FPS;8;FPS_8;3,013679697;FP;S
755;92;1;blanco_REST;160;FPS;8;FPS_8;2,877946952;FP;S
502;93;1;masking_nogo;160;FPA;3;FPA_3;2,700703717;FP;A
514;94;1;masking_go;160;FPA;3;FPA_3;2,710963119;FP;A
2016;95;1;CNTX;160;FPA;3;FPA_3;3,304490528;FP;A
1342;96;1;PREG;160;FPA;3;FPA_3;3,145817714;FP;A
1301;97;1;blanco_CUANT;160;FPA;3;FPA_3;3,114277297;FP;A
877;98;1;blanco_REST;160;FPA;3;FPA_3;2,942999593;FP;A
1660;1;1;masking_nogo;1922;FPS;10;FPS_10;3,220108088;FP;S
912;2;1;masking_go;1922;FPS;10;FPS_10;2,959994838;FP;S
2821;3;1;CNTX;1922;FPS;10;FPS_10;3,450403086;FP;S
1624;4;1;PREG;1922;FPS;10;FPS_10;3,228656958;FP;S
1962;5;1;blanco_CUANT;1922;FPS;10;FPS_10;3,292699003;FP;S
1674;6;1;blanco_REST;1922;FPS;10;FPS_10;3,223755454;FP;S
996;7;1;masking_nogo;1922;CNA;13;CNA_13;2,998259338;CN;A
637;8;1;masking_go;1922;CNA;13;CNA_13;2,804139432;CN;A
2971;9;1;CNTX;1922;CNA;13;CNA_13;3,472902652;CN;A
2226;10;1;PREG;1922;CNA;13;CNA_13;3,34752516;CN;A
1612;11;1;blanco_CUANT;1922;CNA;13;CNA_13;3,207365037;CN;A
3005;12;1;blanco_REST;1922;CNA;13;CNA_13;3,477844476;CN;A
1387;13;1;masking_nogo;1922;FPA;1;FPA_1;3,142076461;FP;A
597;14;1;masking_go;1922;FPA;1;FPA_1;2,775974331;FP;A
5152;15;1;CNTX;1922;FPA;1;FPA_1;3,711975854;FP;A
1143;16;1;PREG;1922;FPA;1;FPA_1;3,076276255;FP;A
2997;17;1;blanco_CUANT;1922;FPA;1;FPA_1;3,476686743;FP;A
1410;18;1;blanco_REST;1922;FPA;1;FPA_1;3,149219113;FP;A
3455;19;1;preg_Y;1922;FPA;1;FPA_1;3,538448052;FP;A
1866;20;1;;1922;FPA;1;FPA_1;3,270911639;FP;A
1074;21;1;masking_nogo;1922;FPS;9;FPS_9;3,031004281;FP;S
1127;22;1;masking_go;1922;FPS;9;FPS_9;3,051923916;FP;S
1934;23;1;CNTX;1922;FPS;9;FPS_9;3,28645647;FP;S
1761;24;1;PREG;1922;FPS;9;FPS_9;3,263872677;FP;S
1344;25;1;blanco_CUANT;1922;FPS;9;FPS_9;3,128399269;FP;S
1687;26;1;blanco_REST;1922;FPS;9;FPS_9;3,227115083;FP;S
1601;27;1;masking_nogo;1922;FPA;3;FPA_3;3,204391332;FP;A
1156;28;1;masking_go;1922;FPA;3;FPA_3;3,062957834;FP;A
6053;29;1;CNTX;1922;FPA;3;FPA_3;3,781970674;FP;A
1556;30;1;PREG;1922;FPA;3;FPA_3;3,21031852;FP;A
2068;31;1;blanco_CUANT;1922;FPA;3;FPA_3;3,315550534;FP;A
1249;32;1;blanco_REST;1922;FPA;3;FPA_3;3,096562438;FP;A
1479;33;1;masking_nogo;1922;CNA;15;CNA_15;3,169968174;CN;A
659;34;1;masking_go;1922;CNA;15;CNA_15;2,818885415;CN;A
2341;35;1;CNTX;1922;CNA;15;CNA_15;3,369401414;CN;A
844;36;1;PREG;1922;CNA;15;CNA_15;2,926342447;CN;A
1315;37;1;blanco_CUANT;1922;CNA;15;CNA_15;3,118925753;CN;A
3190;38;1;blanco_REST;1922;CNA;15;CNA_15;3,503790683;CN;A
3090;39;1;preg_N;1922;CNA;15;CNA_15;3,489958479;CN;A
1598;40;1;;1922;CNA;15;CNA_15;3,203576775;CN;A
1397;41;1;masking_nogo;1922;FPA;2;FPA_2;3,145196406;FP;A
972;42;1;masking_go;1922;FPA;2;FPA_2;2,987666265;FP;A
2560;43;1;CNTX;1922;FPA;2;FPA_2;3,408239965;FP;A
